可是當時我的中文還不太好的 可是當時我的中文還是不太好的
我們坐飛機去 我們坐飛機去了
坐公車還是坐捷運 坐公車還是坐捷運了
我更高興 我更高興了
我下車的時候沒帶錢包 我下車的時候沒帶錢包了
我們都會從明天開始練習 我們都會明天開始練習
所以我想介紹我們的學校是多麼愉快 所以我想介紹我們的學校多麼愉快
內容改一改好嗎 改一改好嗎
雖然我來台北才四個多月 雖然我來台北四個多月
可是沒有機會唱給大家聽 可是沒有機會給大家聽
您可不可以跟我們一起來參加 您可不可以跟我們一起來參加好嗎
不知不覺從他的手上噴出蜘蛛網 不知不覺中從他的手上噴出蜘蛛網
不會因為八卦改變自己的看法 不會因為八卦改自己的看法
其實他是一個好人 其實他是一個人
不過到台灣以後才變成好朋友 不過到台灣以後才變成好朋友了
有一個男生 一個男生
他每天練習做蛋糕 他每天練習蛋糕
他的心被偷了 他的心被了
在北部有各種各樣很有意思的地方 在北部有各種各樣的很有意思的地方
我幫過他報名來台灣念書 我有幫過他報名來台灣念書
我朋友叫陳香香 我有朋友叫陳香香
在外靠朋友 在外面靠朋友
在家靠父母 在家裡靠父母
或是別人忘記拿走的 或是別人忘記拿走
是幫助你往好的方向走的人而不是往茫茫然的前程 可是幫助你往好的方向走的人而不是往茫茫然的前程
可是我好享受這次的旅行 可是我享受這次的旅行
而且帶著它的公車正要回京都站來 而且帶它的公車正要回京都站來
所以我們在那兒等一下就沒有問題了 所以我們在那兒等一下就沒有問題
現在是秋天 現在秋天
沒有那麼多ＣＨＩＥＮＧＭＡＩ人會說英文所以我們有一點點問題 沒有那麼多CHIENGMAI的人會說英文所以我們有一點點問題
我覺曼谷風景比不上ＣＨＩＥＮＧＭＡＩ的風景漂亮 我覺曼谷得風景比不上CHIENGMAI的風景漂亮
泰國天氣很熱 在泰國天氣很熱
學校請周杰倫來唱歌的目的是要讓所有在師範大學學習的外籍生 學校請周杰倫來唱歌的目的是要讓所有的在師範大學學習的外籍生
下課以後在你家附近的公園見 下課以後在你家附近的公園
終於約好了 終於就約好了
現在的頭髮非常長 現在的頭髮是非常長
可是你可能會需要多一點時間來認出我 可是你可能會需要多一點時間認出我
我穿了學校的衣服可能會跟別人一樣 我穿了學校的衣服會跟別人一樣
而且我有時間換衣服的話 而且我有時間去換衣服的話
還是很多人會排隊 還是很多人也會排隊
那一天他的演講大概４點會結束 那一天他的演講大概４點會結束了
去樓頂看看台北的風景 跟去樓頂看看台北的風景
我會在一樓等你 我會在第一樓等你
祝你健康 祝你的健康
還有 還有一個
就幫我約她 就幫我約她個約會
我天天都很想她 我天天都很想她了
皮膚的顏色白白的 皮膚的顏色真白白的
我想要妳帶好幾種化妝品和日本的食料來 我想要妳帶好幾種化妝品和日本的食料帶來
可能你會找到有趣的地方 可能你會找到有趣的地方的資料
只要能一起愉快得享受一些日子 只要能一起愉快得享受一日子
這部電影在台灣受到很多人的歡迎 這部電影在台灣受到了很多人的歡迎
可是我的名字還沒有取 可是我的名字還沒有
從進高中起看這本書 從進高中學校起看這本書
再見 那再見
雖然我還沒告訴你們台灣小吃的東西 雖然我還沒告訴你們台灣的小吃的東西
因此你們可以看到不少的人文風景 因此你們可以看到不少的
只是我們辦的活動是九個小時 只是我們辦的是九個小時
很想念你 很想念你了
他所扮演的角色是一位很有人道關懷力的醫學院學生 他所扮演的角色是一位很有人道關懷力的一位醫學院學生
這個故事讓我知道 這個故事讓我自己知道
但是我有一個朋友有自己的公司卻沒辦法賣產品 但是我有一個朋友有自己的公司沒辦法賣產品
我覺得課本的質量非常重要 我覺得課本的質量是非常重要
我們要上課時多一點兒討論各種各樣的問題 我們要上課時間多一點兒討論各種各樣的問題
如果學生除了流利地溝通以外也覺得他們要進一步了解這個國家的文化 如果學生除了流利地溝通以外也會覺得他們要進一步了解這個國家的文化
我以為她覺得自己是很不幸的人 我以為她覺得自己很不幸的人
我認為聽這種演講的價值是比讀完整個課本的理論多 我認為聽一次的這種演講的價值是比讀完整個課本的理論多
最近許多日本的年輕人包括我自己 最近許多日本的年輕人包括自己
而且他覺得吃飯以後坐在船上 而且他覺得吃飯以後在船上
很明顯地 很明顯
楊先生就進來開始演講 楊先生就進來了開始演講
他不但留給我機會向他問問題 他不但留下來了給我機會向他問問題
他就說「哪裡」 他就說是「哪裡」
但是怎麼才能夠讓它不能進來我們的身體呢 但是怎麼才讓它不能進來我們的身體呢
因為上次在你寄給我的信裡寫著你也要碰面 因為上次在你寄給我的信裡寫你也要碰面
我打算那天下午一點半跟你碰面 我打算那天下午一點半可以跟你碰面
一切都好嗎 一切都好
我總是帶著我的手機出去 我總是帶我的手機出去
先寫一封電子郵件給我或者打電話給我 寫一封電子郵件給我或者打電話給我
吃飯的時候希望我們可以變熟 吃飯的時候希望我們可以變熟了
聽得懂我們在台上說的話 可以聽得懂我們在台上說的話
我很喜歡的這本書叫做世界之我 我很喜歡這本書叫做世界之我
有非常多的表演 非常多的表演
不過還是需要您糾正 不過還是需要您的糾正
可以請你小聲一點 請你小聲一點
我發現的問題是什麼 我身上發現的問題是什麼
不過實際上你來了之後 不過實際上你來之後
原因是他一直看著我 原因他一直看著我
我知道他們在挖苦我 我知道他們挖苦我
後來那男人對我說 後來男人對我說
一定要努力地做下去才會有好結果 要努力地做下去才會有好結果
祝平安 平安
我現在只想對他說的就是謝謝而已 我現在只想對他說就是謝謝而已
每天一直這樣的 每天一直這樣的事情
我知道你辛苦 我知道你在辛苦
我跟他國中時認識的 我跟他已經國中時認識的
那是在個晴空萬里的日子 那是在晴空萬里的日子
我的眼睛就被它吸引住 我的眼睛就被它吸引
「找到天主」那本書而來的 「找到天主」那本書而來
因為它給我增加自己的自信心 它給我增加自己的自信心
就將它念完了 就將它念完
我們都是被天主所創造出的 我們都是被天主所創造
我不知道你的未來會怎麼樣 我不知道你的未來會怎麼樣子
是我 這是我
所以我正在聽他的話就很感動 所以我正聽他的話就很感動
每次上課時 每次上課時候
最近外國人學韓語的越來越多 最近外國人學韓語的人越來越多
我認為留學生應該吃韓國菜 我認為留學生應該吃韓國的菜
我跟學生們一起去吃韓國菜 我跟學生們一起去吃韓國的菜
她有告訴讀者裡面的故事也會讓你作夢 她有告訴裡面的故事也會讓你作夢
她從我小時候到現在都幫我做了很多事讓我很感動 她從我小時候到現在都有幫我做了很多事讓我很感動
走路就可以到學校等等 走路就可以到學校的等等
我相信她的生命豐富了我的生命 我相信她的生命豐富我的生命
跟有智慧的女生結婚的話三代才幸福 跟有智慧的女生一起結婚的話三代才幸福
跟聰明的女生結婚的話三十年才幸福 跟聰明的女生一起結婚的話三十年才幸福
跟漂亮的女生結婚的話三年才幸福 跟漂亮的女生一起結婚的話三年才幸福
我覺得很緊張 我覺得緊張
帶來了一個ＰｌａｙＳｔａｔｉｏｎ３ 他帶來了一個ＰｌａｙＳｔａｔｉｏｎ３
可是他說太貴了 可是他說太貴
有一點久遠 有一點久
再買一樣的沒有屋頂的汽車 再一次買一樣的沒有屋頂的汽車
請你準時啦 請你準時間啦
我加入了現在的公司開始上班了 我加入了現在的公司和開始上班了
顏色是和天空一樣的藍色 顏色是天空一樣的藍色
這樣沒有屋頂的汽車是有一點危險 這樣沒有屋頂的汽車是一點危險
想看時就可以看 想看的時就可以看
我跟女朋友看了電影 我跟女朋友看了
而且還介紹台灣的歷史 而且介紹台灣的歷史
日本人來台灣的時候 日本來台灣的時候
看了信 看了
全是那部電影的歌 是那部電影的歌
他高高的 他是高高的
吃的 小吃的
很容易感冒 很容易？感冒
不是下雨就是有颱風 不是下雨就是颱風
如果考試緊張或是得到壞成績 如果考試在緊張或是得到壞成績
大部分的學校或生活的壓力都是我自己給自己的 我大部分的學校或生活的壓力都是我自己給自己的
因為我小時候他們擔心我很多也幫我獨立了 因為我小時候他們擔心我很多也幫我變了獨立了
我也有過這種經驗 我是也有過這種經驗
我一定會聽他們的話 我一定千萬會聽他們的話
可是我覺得沒有關係 可是我覺得對我沒有關係
有關係的只是他說的一句話 有關係的只是他說的那個一句話
那時候我遇到了那本書 那時候我遇到那本書
他有名到沒有人不知道他 他那麼有名到沒有人不知道他
比別人儘量多練習 比別人儘量練習
在國小有一次放假的時候 在國小的有一次放假的時候
要回家做功課 要做功課
然後媽媽給我買了一本書 然後媽媽給我買一本書
還有一段作者寫的想法和勸導對讀者很有利益的文章 還有一段作者寫的想法和勸導對讀者很有利益的
請來到我的寺院 請來到我寺院
因為它是我剛學習入門的基礎佛學 因為它是我剛學習的基礎佛學
那時我的台灣朋友也在找房子 那時我的台灣朋友也找房子
讓爸爸心裡很失望 讓爸爸心裡失望
搬家的原因是我忽然想要改變生活環境 搬家的原因是我忽然想起想要改變生活環境
住的地方有安全感 住的地方應有安全感
它介紹一個住在美國的年輕人 它介紹一個住在美國的一個年輕人
為了去爬山而去冒險 為了去爬山去冒險
我一定會想教跟油畫有關的課程 我一定會想教跟塗油畫有關的課程
找著找著就突然找到了這本書 找著找著就突然找到這本書
所以我也會用這種的方式來教我的學生 所以我也會用這種想法的方式來教我的學生
所以覺得我有這個能力可以好好地教學生一些有用的東西 所以覺得我有這個能力可以好好地教到學生一些有用的東西
一定要養成好好地念書的習慣 一定要好好地念書的習慣
我就匆匆忙忙地去買東西 我就匆匆忙忙地去東西
那天是很平常的一天 那天是一個很平常的一天
所以我今天寫信給你 所以我今天寫信你
在第二次大戰爭的時候 在第二大戰爭的時候
不過我發現你從開學到現在似乎都沒洗過澡 不過我發現你從開學到現在似乎都還沒洗過澡
我們坐高鐵去 我們到臺灣坐高鐵去
第二次大戰爭結束以後 第二大戰爭�束以後
我覺得您一定會喜歡臺灣 我覺得您一定喜歡臺灣
我記得我是在我十歲生日時看的 我記得我是在我十歲生日看的
失去真實的意義 失去那真實的意義
在那同時 在同時
戳破他上司自己的謊 來戳破他上司自己的謊
再請老師影印給我們 請老師影印給我們
第一天我們去士林夜市吃好吃的東西 第一天我們打算去士林夜市吃好吃的東西
所以請多穿衣服 所以請多多穿衣服
所以我來台灣以前沒看過他 所以我來台灣以前沒看他
都是不一樣國家的人 都是不一樣的國家的人
我寄給您電子郵件 寄給您電子郵件
最後的練習一次比較好 最後的練習比較好
所以我們可以不容易決定唱那一首歌 所以我們可以容易決定唱那一首歌
我的身體動不了就算了 把我的身體動不了就算了
還有我真的要去找他的父母 還有我真的要去找父母
才發現了我的身體動不了 才發現了把我的身體動不了
他總是看著我 他總是看我
雖然是一個小孩子 雖然一個小孩子
所以把眼睛張開了 所以就把眼睛張開了
我接到電話 我接電話
我覺得表示我的感謝 我覺得來表示我的感謝
我不一定會做很誇張的表達 我不一定做很誇張的表達
雖然這個世界上每天都有人當媽媽 雖然這個世界每天都有人當媽媽
我媽媽的生活圍著我們的家庭轉 我媽媽的生活圍著我們的家庭
媽媽不停煮飯 媽媽不停了煮飯
而且一定沒有這麼輕鬆的生活 而且一定會沒有這麼輕鬆的生活
可是那個時候都不知道 可是那個時候都不知道了
一定沒有現在的我 一定會沒有現在的我
再加上我不容易了解他的情況 再加上我不容易了解他的頭腦情況
而且他跟我說 而且他跟我說了
他現在是高中二年級 他現在是高中生二年級
比方說要是有一天我教他數學公式 比方說要是有一天我教他數學公定式
那幾張票是隨時可以進去的 那幾張票是隨時進去的
每個人在路上都會幫我 每個人在路上會幫我
有時候會迷路 有時候會迷路了
有的人說他不算真的台灣人因為他有美國綠卡 有的說他不算真的台灣人因為他有美國綠卡
我的手機響起來 我的手機響起聲音來
他講給我們聽他小的時候的事 他講給我們聽他小的時候
我接著手機突然聽到快要哭的聲音 我接著手機突然聽到快要想哭的聲音
在大學裡看到路上有一個手機 在大學看到路上有一個手機
他真的幫助我很多 他真的幫助我的很多
生活不會每一天都快樂 生活不會每一天快樂
我還更喜歡住那兒了 我更喜歡住那兒了
如果我搬家 如果我會搬家
這是因為在房子裡沒有什麼家具 是因為在房子裡沒有什麼家具
附近比較安靜 比較安靜
跟萬華其他地方比 跟萬華其他地方
我想這是因為台灣跟我國的文化和氣候的關係 我想這是因為台灣跟我國的文化和氣候的關
台灣跟我國並沒有什麼差別 台灣跟我國沒有什麼差別
我受得了這麼辣的菜 我會受得了這麼辣的菜!
而且有點甜 而有點甜
而且不太甜 而不太甜
所以我決定把這一封信寫下來給你 所以我決定把一封信寫下來給你
但媽媽還是一直鼓勵和堅持 但媽媽還是一直鼓勵和堅持我
還不知道應該要做什麼好 不知道應該要做什麼好
他是我第一個想到的人 他是我第一個印象想到的人
他說從來沒有跟父母要過學費和生活費 他說從來沒有跟父母要學費和生活費
但是我覺得他已經獨立自主了 但是我覺得他已經獨立自主
你覺得這個主意好不好 你覺得這個主意好不好嗎
兩個國家都沒有忍者了 兩個國家都沒有忍者
也把別的忍者都殺了 把別的忍者都殺了
後來女主角把男主角殺了 後來把男主角殺了
所以殺了很多人 所以殺很多人
就是媽媽和孩子們 就是媽媽和我們孩子們
我問朋友知不知道有很多辭典的書店 我問了朋友知不知道有很多辭典的書店
我就到我家附近的書店去找中文辭典 我就到我家附近的書店去找中文辭典了
我覺得這個表演很好是因為龍獅舞是中國過新年的一個傳統 我覺得這個表演很好因為龍獅舞是中國過新年的一個傳統
就不像新年了 就不會像新年了
祝福大家過一個好新年 祝福大家一個好新年
我想請老師幫我安排同學們來練習和參與 我想老師幫我安排同學們來練習和參與
我也想老師幫我們找時間在操場綵排 我也想老師幫我們找時間在操場
因為這樣才可以讓他們明白怎麼用所有的文法和發音 因為這樣他們才可以讓他們明白怎麼用所有的文法和發音
這樣也還可以讓學生比較自動 這樣也還可以讓學生比較自動的
所以上課的氣氛比較有意思 所以上課的氣氛比較更有意思
所以我會舉辦一個活動跟中國的學生見面 所以我會舉辦一個活動跟中國人的學生見面
有兩個小時 兩個小時
這要從去年九月說起了 這從去年九月說起了
我一定跟現在的我不一樣 一定跟現在的我不一樣
我今年要開始工作了 我今年要開始工作
下個月是我最高興的月份了 下個月是我最高興的月了
我們快大學畢業了 我們快大學畢業
最終是湯尼透過比敵人更高科技的設備 最終也是湯尼透過比敵人更高科技的設備
她碰我的吉他 她碰我的吉
我打算跟你一起去泡溫泉 我打算跟你一起去溫泉
我等你 我等著你
我看過你的照片以後 我看你的照片以後
我的手機電話號碼是０９１４５６９８７ 然後我的手機電話號碼是０９１４５６９８７
我們很久之前開始互相寫信 我們很久開始互相寫信
親愛的王宜家先生 親愛王宜家先生
我們就做甚麼 我們就要做甚麼
也沒有出去玩的衣服 也沒有去玩的衣服
和我最喜歡的白色上衣 和我最喜歡的白色的上衣
同時也是非常嚴謹的一個人 同時也非常嚴謹的一個人
但是我覺得它的產品比較貴 我覺得它的產品比較貴
客人都需要拿號碼牌等 客人都需要拿號碼等
現在看你對什麼活動比較有興趣 現在看你對什麼種活動比較有興趣
可以幫我帶冬天的衣服跟日本的甜點來給我嗎 可以幫我帶我的冬天的衣服跟日本的甜點來給我嗎
所以我們需要自己查一查火車跟公車的時間 所以我們需要準備自己查一查火車跟公車的時間
我也並不會反對 我也並不會反對他
他出現了 他出現
然後我也去看他們的足球 然後我也去看他們的足
我希望你那天很快樂 我希望你那天是很快樂
但是不管是小學生或是大學生 但是不管是小學或是大學生
我覺得當老師最重要的方面就是可以讓學生很高興地上他的課 我覺得當老師最重要的個性方面就是可以讓學生很高興地上他的課
我在你的生日會的時候看到一個黑頭髮的男生 我在你的生日會時候看到一個黑頭髮的男生
他真是一個很難得的好朋友 真是一個很難得的好朋友
還有很多人常常為自己的說話能力差而感到很自卑 還有很多人常常為自己的說話能力而感到很自卑
現在我要去上課了 現在我要上課了
語言交換對學語言的人有很多的幫助 語言交換是對學語言的人有很多的幫助
每天聽就慢慢聽得懂 每天聽就慢慢會聽得懂
去了中國大陸的四川省 去中國大陸的四川省
看書也重要 看書也是重要
真的很奇怪 真的奇怪
可是一直看書很無聊 可是一直看書是很無聊
很多學生都感謝那位老師 很多學生感謝那位老師
其實別的學生都喜歡那位老師 別的學生都喜歡那位老師
我最感謝的人是我國中的老師 我最感謝的人是我們的國中的老師
學生的進步不會比較快 學生的進步比較快
現在了解老師說的意思了 現在了解老師說的意思
應該用有禮貌的說話 應該用有禮貌說話
小的時候 從小的時候
我對這個消息感到非常開心 我對這個消息非常開心
我想我們都不會像現在那麼善良 我想我們都不會長像現在那麼善良
所以我很感恩 所以我很有感恩
自己騎摩托車到那些景點去 自己騎摩托車到那些景點
有耐心 耐心
倒是真需要每天講三個小時的電話嗎 倒是真需要每天三個小時的電話嗎
她也沒有別的男人 她也沒有別男人
就是晚間的電話 這就是晚間的電話
她說她被她的老公打因為她的老公認為她把錢寄給別的男人 她說她被她的老公打因為她的老公認為她把錢寄給別男人
我學到了各種各樣的中文寫作方式 我一直學到了各種各樣的中文寫作方式
我以為離家很遠會使我覺得很孤單 我以為離家也很遠會使我覺得很孤單
我先介紹活動的內容 可是我先介紹活動的內容
他計畫帶我們去上海看今年的世博會 他計畫我們去上海看今年的世博會
我寫這封信給你是因為我們學校幫我們安排好棒的一場活動 我寫這封信給你因為我們學校幫我們安排好棒的一場活動
在上海要看好多國家的展館 在上海要看好多國家的館
最後才找到了這個房子 最後找到了這個房子
因為大部分的學生在家裡一個人或兩個人長大 因為大部分的學生在家裡一個人或兩個人長大了
我要有更多的時間跟我的學生一塊兒生活 我要更多的時間跟我的學生一塊兒生活
這部電影特別的地方就是 這部電影之特別的地方就是
還要用ＰＰＴ 要還要用ＰＰＴ
如果精神不夠堅強 如果精神不夠
他現在很喜歡講英文所以決定要住在英國 他現在很喜歡講英文所以決定他要住在英國
好像蔬菜的本來的味道都消失了 好像蔬菜的本來的味道都消失
為了準備這次新年晚會的表演給您寫一封信 為了準備這次新年晚會的表演給您一封信
請老師看一下 請老師看下
同學們想了想這次節目什麼最好 同學們想了想這次節目什麼是最好
現在這裡是春季 現在這裡是春季了
所以花季的時候 所以是個花季的時候
付出了他的關心及愛心 他付出了他的關心及愛心
聽說了妳要來台灣的消息 聽說妳要來台灣的消息
太大又太貴 太大太貴
有的我已經唸完了 有的我已經唸了
給我的朋友益華機會 給了我的朋友益華機會
你進來這間宿舍 你進來這宿舍
我不是說玩電腦完全不好 我不說玩電腦完全不好
也傷害自己的身體健康 也傷害自己身體健康
這讓我感到她是十分具有幽默感的一位女性 這讓我感到她十分具有幽默感的一位女性
因為距離好幾個公車站很近 因為好幾個公車站很近
去好玩的地方 去有好玩的地方
所以什麼都是完全不一樣 所以什麼都完全不一樣
我要我的教法跟我這個學期的老師一樣 我要我教法跟我這個學期的老師一樣
如果學生有問題 如果有學生有問題
因為我不但對中文有興趣 因為不但對中文有興趣
我想先告訴你那一天 我想先告訴你在那一天
我每次都花了很多錢 我每次花了很多錢
我連香水收藏櫃都有 我連香水收藏都有
我常常去最好的百貨公司跟化妝品店買口紅 我常常去最好的百貨公司跟化妝店買口紅
我記得有一件很特別的事情 我記得一件很特別的事情
ＳＯＧＯ有ＭＡＣ ＳＯＧＯ有ＭＡＣ牌子
我的皮膚顏色比較淡 我的皮膚比較淡
現在我存了好多錢 現在我存好多錢
我還不知道我會愛上他 我還不知道我會愛上
一位很古怪的男人走過來 一位很古怪的男人過來
我的男朋友很有幽默感 我的男朋友很有幽默
我覺得我很好運 我覺得我好運
然後給了我一杯牛奶 然後給了一杯牛奶
有一次下大雨了 一次下大雨了
可是我教的是小孩 可是我教的人是小孩
現在我的鞋子都壞了 現在在台灣我的鞋子都壞了
甚至於我們的旅行團 甚至於我們的旅行團只有
你那邊呢 你的那邊呢
而且快要回國了 而且快要回國
這個男孩子生性膽小 這個男孩子膽小
她很堅持地守著她的信念 她很堅持地守她的信念
因為很多人為了奪取天空之城的寶藏而追她 因為很多人為了奪取天空之城的寶藏追她
和去動物園學動物特性 和去動物園學動物
我煩惱家庭的問題和自己將來的事情 我煩惱家庭的問題和自己將來的事情了
你上次的信讓我非常高興 你上的信讓我非常高興
從現在起也一定會說幸褔的 從現在也一定會說幸褔的
別擔心 就別擔心
紅色的 紅紅色的
要當甚麼 要當做甚麼
這樣的房間會好看嗎 這樣的房間會好看
還有好多好漂亮的相片 還有好多好漂亮的世界相片
我看了一下那本書以後 我看一下那本書以後
免得打擾隔壁的班的課 免打擾隔壁的班的課
其實我們聽不出來甚麼民謠是又好聽又簡單的 其實我們聽不出來甚麼民謠是又好聽又簡單
我聽說在國語中心會舉行新年晚會 我聽說在國語中心舉行新年晚會
實在秀氣 態度實在秀氣
樣子是皮膚白白的 樣子皮膚白白的
就像一個禮物 像一個禮物
因為妳已經去\81\8E中國所以妳知道中國菜是怎樣 因為妳已經去過中國妳知道中國菜是怎樣
我覺得因為妳要來兩個星期 我覺得因為妳來兩個星期
我們會去南部幾天 我們會去南部幾個天
所以他買了另一本小說 所以他買了一本小說
讓我知道做什麼事情是很好的 讓我知道要做什麼事情是很好的
而且你一直都懂我的心情 而且你一直懂我的心情
這樣下去 這下去
這樣子會對我產生不好的影響 這樣子會對我不好的影響
在生活上你碰到了困難嗎 在生活上你碰到困難嗎
我的老師介紹給我們學生的 我的老師介紹給我們學生
可是我的個性就是這樣 可是我的個性是這樣
我感謝老天爺讓我交那麼好的女友 我感謝老天爺讓我交那麼好女友
可是因為他的中文很好所以我們就可以溝通 可是因為他的中文很好所以我們就可以溝通了
都沒收到你的消息 都沒收到你消息
聽說妳大學念歷史系 聽說妳在大學念歷史系
希望怪女孩離我遠一點 希望怪女孩待離我遠一點
以後就忘不了它的味道 以後忘不了它的味道
很多外國人介紹給我們他們的國家 很多外國介紹給我們他們的國家
她大姐正式認識了那個男生 她大姐正式認識那個男生
問他要不要跟女主角跳舞 問要不要跟女主角跳舞
有一個有錢的單身男生搬到她家附近 有一個有錢的單身男生搬到她家的附近
我最近看過這本書的連續劇 我最近看這本書的連續劇
你的樣子看起來很可能便宜得多 你的樣子看起來很可能便宜多
現在全世界最民主主義的國家 現在全世界最民主主義國家
但是我想考大學 但是我想考上大學
我對中國菜的印象是用中國鍋炒 我的對中國菜的印象是用中國鍋炒
我覺得中國菜最大的特色是種類 我覺得中國菜的最大的特色是種類
我從小就喜歡吃中國菜 從小就喜歡吃中國菜
我會冷死 我會冷死了
這本書的名字是「颱風的晚上」 這本書名字是「颱風的晚上」
而且每個省份有自己獨特的菜 而且每個省有自己獨特的菜
我想這個辦法可以一方面學清楚文法的意思 我想這個辦法可以一方面學得清楚文法的意思
這次給我的印象很深 這次給我印象很深
還是跟台灣人一起去買比較好 跟台灣人一起去買比較好
可是我們不知道這個是真的玉 可是我們不知道這個真的玉
我的同學找到喜歡的玉手環 我的同學找到喜歡的玉的手環
不過聽說她過馬路的時候 不過聽說過馬路的時候
常常一起享受美好的時光 常常一起享受了美好的時光
在她還沒滿十八歲的冬天 還沒滿十八歲的冬天
雖然當時我不在她的身邊 雖然當時我不在她的身邊的關係
我能不能請老師的考試出難一點 我能不能請老師的考試難一點
這位歌手在韓國很有名 這位歌手是在韓國很有名
聽韓國的歌等 韓國的歌等
現在在台灣很流行關於韓國的事 現在在台灣很流行關於韓國的
祝身體健康 身體健康
為了讓我覺得開心 為了我覺得開心
這一個人是以前的女朋友她叫佳惠 一個人是以前的女朋友她叫佳惠
我最難過的事是被她甩的事 我最難過的事被她甩的事
我還沒有像高中的時候認識那麼多朋友 我還沒有像高中的時候那麼多朋友
他也是我的學長 他也是個我的學長
我們怎麼認識的嘛 我們怎麼認識嘛
我對空氣過敏 我有對空氣過敏
我最近交了男朋友 我最近交男朋友
我正躺在美麗的海灘 我正在躺在美麗的海灘
雖然台灣正是冬天當中 雖然台灣是冬天當中
是因為好幾次沒有人中到樂透 是因為好幾次沒有人中到樂透的
我自己的心情是好像這輩子的運氣都用光的感覺 我自己的心情好像這輩子的運氣都用光的感覺
我覺得我對未來的渴望就是一種尊敬她的方法 我覺得我未來的渴望就是一種尊敬她的方法
而最讓人感動的部分 最讓人感動的部分
如果沒有她 如果沒有經過她
電影員的演技也非常好 電影員的演技也非常
腦子裡面完全空白 裡面完全空白
母親節再一個禮拜就要到了 母親節一個禮拜就要到了
我花了五個鐘頭的時間 我花了很五個鐘頭的時間
我在百貨公司裡逛 我在百貨公司裡逛街
上個禮拜六在台北東區的新光三越 上一個禮拜六在台北東區的新光三越
我的身體健康和我會做好幾件事 我的身體健康和我會做好幾事
他是瘦瘦高高的 他是瘦瘦得高高的
如果你決定好當天穿甚麼的話 如果你決定當天穿甚麼的話
他們兩個人在山裡的沒有人住的家裡第一次見面 他們兩個人在山裡的沒有人住的家第一次見面
我覺得你們也一定會喜歡吧 我覺得你們也一定喜歡吧
台灣還很熱 台灣還熱
我很想買給你們吃 我很想給你們吃
如果你跟一個紅衛兵對話 如果你跟一個紅衛兵有對話
他們就會了解現代的中國 他們就會了解現代中國
我最頭痛的當然就是吃的東西 我最頭痛的就是吃的東西
我們在一起每天都很開心 我們在一起每天很開心
我們對現在的關係很認真 我們現在的關係很認真
很久沒有跟你連絡了 很久沒有跟你連絡
你不知道我跟她在一起的時候 你不知道我跟她一起的時候
而且每家都有我以前沒看過的圓領衫 而且每家有我以前沒看過的圓領衫
但心裡很開心 但心裡很開心的
不過我還是沒有買那件圓領衫 不過我還是沒有那件圓領衫
我找到了一個女朋友 我找到一個女朋友
我跟她在一起的時候覺得很舒服 我跟她一起的時候覺得很舒服
你已經看過我的照片所以你知道我長甚麼樣 你已經看過我的照片所以你知道我長得甚麼樣
把這一段時間記錄下來 把這一段時間記下來
我每次在他的前面會假裝不能吃很多 我每次在他的前面假裝不能吃很多
就手牽手一起走出去 就手牽手一起走
可是這樣的壓力對我很有用 可是這樣的壓力對我了很有用
我考試的成績變得比較好 我考試的成績比較好
希望冷冷的天氣馬上到 希望冷冷的天氣馬上到了
也是我的同事 也是個我的同事
也為了我美好的未來他們都願意讓我去 也為了我好的未來他們都願意讓我去
讓我覺得很幸福也很感動 讓我覺得很幸福也感動
回國後 我回國後
我們要從最低的地方爬到最高的地方 我們要從最低的地方爬到最高的
雖然這三首歌不同的味道 雖然這三首不同的味道
那時候她給我碗 那時候她給我碗子
不是因為她給我東西 不是因為給我東西
雖然我的中文能力還不夠 雖然我的中文的能力還不夠
只說了感謝的話 只感謝的話
我的夢是關於我去年認識的朋友 我的夢關於我去年認識的朋友
我來到台北親自找我的男朋友 來到台北親自找我的男朋友
兩個星期以後要回國了 兩個星期以後我要回國了
如果需要的話 需要的話
我問他「這是你偷的嗎」 我問他「這是你偷走的嗎」
所以不能去上課 所以不能去上課了
可是沒有得到回答 」可是沒有回答
我看到我小學時候的好朋友 我看到我小學的時候的好朋友
中國菜的味道跟我們國家的菜比起來會比較淡 中國菜的味道跟我國家的菜比起來會比較淡
口味也會比較鹹 口味也會走比較鹹
我曾經吃過比較特別的中國菜 我曾經有吃過比較特別的中國菜
我忘記叫什麼了 我忘記了叫什麼了
蛋殼內有要變成雞的蛋 蛋殼內是有要變成雞的蛋
也有很多動物 也很多動物
所以我覺得有一點壓力 所以我我覺得有一點壓力
那個時候店員小姐跟我用日文說「你要甚麼」 那個時候店員的小姐跟我用日文說「你要甚麼」
到了烏來 到烏來
就像我讀高中時一樣 就像我讀高中的時一樣
才可以做得更好 才可以做更好
請您跟國語中心幫忙決定 請您跟國語中心幫決定
像一些生活費跟學費她還是幫我處理 像一些生活費跟學費她還是有幫我處理
現在我媽還是幫我做了很多事 現在我媽還是有幫我做了很多事
然後我們決定了我們的計畫 然後我們決定我們的計畫
我們已經選定四個國家 我們已經選四個國家
這女孩子的名字是林辣美 女孩子的名字是林辣美
但是已經很漂亮了 但是已經很漂亮
因為我從來沒有交過女朋友 因為我從來沒有女朋友
這一個壞蛋打了這女生 這一個壞蛋打了女生
我到那邊時 我到那邊的時
並且水電費也沒付 並且水電費也付
因為雖然是同一個手環 是因為雖然是同一個手環
人人就以為她是個男生 人人都就以為她是個男生
